|Тип|Назначение|Объем|Форм-фактор|Разъем|Тип памяти|Внешняя скорость записи|Внешняя скорость считывания|Буферная память|Ударостойкость при работе|Наработка на отказ|Материал корпуса|Размеры|Вес|Контроллер|Гарантия производителя|Интерфейс M.2|NVMe|TBW|DWPD|Шифрование данных|IOPS записи|IOPS считывания|Кабель в комплекте|Ударостойкий корпус|Стандарт защиты MIL-STD-810|Уровень защиты (IP)|Радиатор охлаждения M.2|TRIM|Код EAN / UPS / GTIN|Маркировка производителя|Подсветка|Thunderbolt|Внешний карман
Patriot Memory P220 P220S2TB25 P220S2TB25|внутренний||2000 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|550 МБ/с|||||100x70x7 мм||Phison S12|3 года|||960 ТБ|0.4 раз/день||50 тыс|50 тыс||||||Есть|4711378424324||||
Transcend MTE250H TS2TMTE250H TS2TMTE250H|внутренний||2000 ГБ|M.2||3D TLC NAND|6500 МБ/с|7100 МБ/с|||3 млн. ч||23x80x9.2 мм|||5 лет|PCI-E 4.0 4x|Есть|2960 ТБ|0.8 раз/день||420 тыс|530 тыс|||||Есть|Есть|||||
Team Group MS30 M.2 TM8PS7128G0C101 TM8PS7128G0C101|внутренний||128 ГБ|M.2||TLC|300 МБ/с|500 МБ/с|||1.5 млн. ч||22x80 мм|||3 года|SATA 3||30 ТБ|0.2 раз/день||||||||||||||
Silicon Power Xpower XS70 SP01KGBP44XS7005 SP01KGBP44XS7005|внутренний||1000 ГБ|M.2||3D TLC NAND|6800 МБ/с|7300 МБ/с|||1.6 млн. ч||24.6x80x10.8 мм|33 г||5 лет|PCI-E 4.0 4x|Есть||||||||||Есть|Есть|||||
Crucial MX300 M.2 CT275MX300SSD4 CT275MX300SSD4|внутренний||275 ГБ|M.2||3D TLC NAND|500 МБ/с|530 МБ/с|||1.5 млн. ч||22x80 мм|||3 года|SATA 3||80 ТБ|0.3 раз/день||83 тыс|55 тыс|||||||||||
WD Red SA500 WDS400T1R0A S400T1R0A|внутренний||4000 ГБ|"2.5"""|SATA 3|3D TLC NAND|530 МБ/с|560 МБ/с||1500 G|||100x70x7 мм|||5 лет||||||||||||||||||
WD Blue SN580 WDS100T3B0E S100T3B0E|внутренний||1000 ГБ|M.2||3D TLC NAND / 112-Layer Kioxia TLC (BiCS5) /|4150 МБ/с|4150 МБ/с|||1.5 млн. ч||22x80 мм||SanDisk 20-82-10082|5 лет|PCI-E 4.0 4x|Есть|600 ТБ|0.3 раз/день||750 тыс|600 тыс|||||||0718037887340||||
WD Red SN700 WDS500G1R0C S500G1R0C|внутренний|для сервера|500 ГБ|M.2||3D TLC NAND|2600 МБ/с|3430 МБ/с|||||22x80 мм|8 г||5 лет|PCI-E 3.0 4x|Есть|1000 ТБ|1.1 раз/день||380 тыс|420 тыс|||||||0718037891439||||
Samsung PM1643a MZILT960HBHQ MZILT960HBHQ|внутренний|для сервера|960 ГБ|"2.5"""|SAS|3D TLC NAND|1000 МБ/с|2100 МБ/с||||||||5 лет||||1 раз/день||40 тыс|380 тыс|||||||8592978353186||||
WD Red SN700 WDS200T1R0C S200T1R0C|внутренний|для сервера|2000 ГБ|M.2||3D TLC NAND|2900 МБ/с|3400 МБ/с|||||22x80 мм|8 г||5 лет|PCI-E 3.0 4x|Есть|2500 ТБ|0.7 раз/день||540 тыс|480 тыс|||||||0718037891330||||
Intel D3-S4620 SSDSC2KG019TZ01 SSDSC2KG019TZ01|внутренний|для сервера|1920 ГБ|"2.5"""|SATA 3|3D TLC NAND / 144L /|510 МБ/с|550 МБ/с|||2 млн. ч||100x70x7 мм|||5 лет||||||53 тыс|91 тыс|||||||0735858482646||||
Transcend ESD260C TS250GESD260C TS250GESD260C|внешний||250 ГБ|M.2|USB C 3.2 gen2|3D TLC NAND|460 МБ/с|520 МБ/с||||металл|81x34x8 мм|33 г||3 года||||||||USB C – USB C и USB C – USB A||||||||||
A-Data XPG GAMMIX S5 M.2 AGAMMIXS5-2TT-C AGAMMIXS5-2TT-C|внутренний||2000 ГБ|M.2||3D TLC NAND|1500 МБ/с|2100 МБ/с||1500 G|2 млн. ч||22x80 мм|11 г||5 лет|PCI-E 3.0 4x|Есть|1200 ТБ|0.3 раз/день||240 тыс|250 тыс|||||Есть||||||
AMD Radeon R5 M M.2 R5M960G8 R5M960G8|внутренний||960 ГБ|M.2||3D TLC NAND|500 МБ/с|530 МБ/с||1500 G|1.5 млн. ч||22x80 мм||Silicon Motion SM2258|3 года|SATA 3|||||78 тыс|69 тыс|||||||||||
Transcend SSD225S TS500GSSD225S TS500GSSD225S|внутренний||500 ГБ|"2.5"""|SATA 3|3D TLC NAND|480 МБ/с|530 МБ/с|||2 млн. ч||100x70x7 мм|45 г||3 года|||180 ТБ|0.3 раз/день||75 тыс|55 тыс||||||Есть|0760557858980||||
Transcend 250S TS1TMTE250S TS1TMTE250S|внутренний||1000 ГБ|M.2||3D TLC NAND|6200 МБ/с|7200 МБ/с|||3 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|1480 ТБ|0.8 раз/день||420 тыс|530 тыс|||||||0760557860075||||
Crucial P2 CT500P2SSD8 CT500P2SSD8|внутренний||500 ГБ|M.2||3D QLC NAND / 96-слойная /|940 МБ/с|2300 МБ/с||1500 G|1.5 млн. ч||22x80 мм||Phison PS5013-E13T|5 лет|PCI-E 3.0 4x|Есть|150 ТБ|0.2 раз/день||215 тыс|95 тыс||||||Есть|0064952882342, 0649528823427||||
Apacer AS2280P4U Pro M.2 AP2TBAS2280P4UPRO-1 AP2TBAS2280P4UPRO-1|внутренний||2000 ГБ|M.2||3D TLC NAND|3000 МБ/с|3500 МБ/с||1500 G|1.8 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|1300 ТБ|0.4 раз/день||680 тыс|700 тыс|||||Есть|Есть|||||
Gigabyte AORUS Gen5 12000 SSD AG512K2TB AG512K2TB|внутренний||2000 ГБ|M.2||3D TLC NAND|11800 МБ/с|12400 МБ/с|4000 МБ / LPDDR4 /||1.6 млн. ч||23.5x92x44.7 мм|||5 лет|PCI-E 5.0 4x|Есть|1400 ТБ|0.4 раз/день||||||||Есть||||||
A-Data LEGEND 960 MAX ALEG-960M-1TCS ALEG-960M-1TCS|внутренний||1000 ГБ|M.2||3D NAND|6000 МБ/с|7400 МБ/с|||2 млн. ч||23.2x80.6x10.65 мм|36 г|SMI SM2264|5 лет|PCI-E 4.0 4x|Есть|780 ТБ|0.4 раз/день|Есть|610 тыс|730 тыс|||||Есть||4711085938855||||
Samsung PM9A3 MZ1L2960HCJR-00A07 MZ1L2960HCJR-00A07|внутренний|для сервера|960 ГБ|M.2||3D TLC NAND|1100 МБ/с|3000 МБ/с|||2 млн. ч||||Samsung Elpis|3 года|PCI-E 4.0 4x|||||38 тыс|400 тыс|||||||||||
Patriot Memory P220 P220S512G25 P220S512G25|внутренний||512 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|550 МБ/с|||||100x70x7 мм||Phison S12|3 года|||240 ТБ|0.4 раз/день||50 тыс|40 тыс||||||Есть|4711378422351||||
Transcend ESD380C TS1TESD380C TS1TESD380C|внешний||1000 ГБ|"2.5"""|USB C 3.2 gen2|3D TLC NAND|2000 МБ/с|2000 МБ/с||||металл|97x54x13 мм|75 г||5 лет||||||||USB C – USB C и USB C – USB A||||||||||
WD Red SA500 WDS500G1R0A S500G1R0A|внутренний||500 ГБ|"2.5"""|SATA 3|3D TLC NAND|530 МБ/с|560 МБ/с||1500 G|||100x70x7 мм|||5 лет||||||||||||||||||
Kingston XS2000 SXS2000/4000G SXS2000\/4000G|внешний||4000 ГБ||USB C 3.2 gen2x2|3D TLC NAND|2000 МБ/с|2000 МБ/с||||металл|70x33x14 мм|29 г||5 лет|||||||||Есть||IP55|||||||
Kingston DC500R SEDC500R/1920G SEDC500R\/1920G|внутренний||1920 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|555 МБ/с|||2 млн. ч||100x70x7 мм|92 г||5 лет|||1752 ТБ|0.5 раз/день||24 тыс|98 тыс||||||Есть|||||
Kingston DC1000B SEDC1000BM8/240G SEDC1000BM8\/240G|внутренний|для сервера|240 ГБ|M.2||3D TLC NAND|290 МБ/с|2200 МБ/с||1500 G|2 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|248 ТБ|0.5 раз/день||12 тыс|111 тыс|||||||||||
A-Data LEGEND 960 MAX ALEG-960M-2TCS ALEG-960M-2TCS|внутренний||2000 ГБ|M.2||3D NAND|6800 МБ/с|7400 МБ/с|||2 млн. ч||23.2x80.6x10.65 мм|36 г|SMI SM2264|5 лет|PCI-E 4.0 4x|Есть|1560 ТБ|0.4 раз/день|Есть|630 тыс|750 тыс|||||Есть||4711085938862||||
Team Group CX2 T253X6001T0C101 T253X6001T0C101|внутренний||1000 ГБ|"2.5"""|SATA 3|3D TLC NAND|490 МБ/с|540 МБ/с||1500 G|1 млн. ч||100x70x7 мм|||3 года|||800 ТБ|0.7 раз/день||||||||||0765441051942||||
Team Group Vulcan Z T253TZ240G0C101 T253TZ240G0C101|внутренний||240 ГБ|"2.5"""|SATA 3|3D TLC NAND|450 МБ/с|520 МБ/с|||1 млн. ч||100x70x7 мм|45 г||3 года|||200 ТБ|0.8 раз/день||||||||||0765441060463||||
Patriot Memory P220 P220S128G25 P220S128G25|внутренний||128 ГБ|"2.5"""|SATA 3|3D TLC NAND|480 МБ/с|550 МБ/с|||||100x70x7 мм||Phison S12|3 года|||60 ТБ|0.4 раз/день||50 тыс|40 тыс||||||Есть|4711378422337||||
A-Data XPG GAMMIX S5 M.2 AGAMMIXS5-256GT-C AGAMMIXS5-256GT-C|внутренний||256 ГБ|M.2||3D TLC NAND|1200 МБ/с|2100 МБ/с||1500 G|2 млн. ч||22x80 мм|11 г||5 лет|PCI-E 3.0 4x|Есть|150 ТБ|0.3 раз/день||180 тыс|190 тыс|||||Есть||||||
Apacer AS2280P4 M.2 AP256GAS2280P4-1 AP256GAS2280P4-1|внутренний||256 ГБ|M.2||3D TLC NAND|1100 МБ/с|1800 МБ/с||1500 G|1.5 млн. ч||22x80 мм||||PCI-E 3.0 4x|Есть|||||||||||Есть|||||
Gigabyte Gen3 2500E G325E500G G325E500G|внутренний||500 ГБ|M.2||3D TLC NAND|1500 МБ/с|2300 МБ/с|||1.5 млн. ч||22x80 мм|||3 года|PCI-E 3.0 4x|Есть|120 ТБ|0.2 раз/день||240 тыс|60 тыс|||||||4719331844370||||
Apacer AS2280P4U Pro M.2 AP512GAS2280P4UPRO-1 AP512GAS2280P4UPRO-1|внутренний||512 ГБ|M.2||3D TLC NAND|2300 МБ/с|3500 МБ/с||1500 G|1.8 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|350 ТБ|0.4 раз/день||600 тыс|400 тыс|||||Есть|Есть|4712389919335||||
Netac SA500 NT01SA500-128-S3X NT01SA500-128-S3X|внутренний||128 ГБ|"2.5"""|SATA 3|3D TLC NAND|400 МБ/с|500 МБ/с|||1.5 млн. ч||100x70x7 мм|||3 года|||60 ТБ|0.5 раз/день|||||||||Есть|6926337235684||||
A-Data LEGEND 840 ALEG-840-1TCS ALEG-840-1TCS|внутренний||1000 ГБ|M.2||3D TLC NAND|4750 МБ/с|5000 МБ/с||1500 G|2 млн. ч||22x80 мм|9 г|Innogrit IG5220|5 лет|PCI-E 4.0 4x|Есть|650 ТБ|0.4 раз/день||600 тыс|650 тыс|||||Есть||4711085935762||||
Silicon Power Slim S55 SP960GBSS3S55S25 SP960 ГБSS3S55S25|внутренний||960 ГБ|"2.5"""|SATA 3|3D TLC NAND|450 МБ/с|500 МБ/с||1500 G|1.5 млн. ч||100x70x7 мм|63 г|Phison PS3108-S8|3 года||||||30 тыс|||||||Есть|||||
Team Group MS30 M.2 TM8PS7256G0C101 TM8PS7256G0C101|внутренний||256 ГБ|M.2||TLC|400 МБ/с|500 МБ/с|||1.5 млн. ч||22x80 мм|||3 года|SATA 3||60 ТБ|0.2 раз/день||||||||||||||
Kingston DC1000B SEDC1000BM8/960G SEDC1000BM8\/960G|внутренний|для сервера|960 ГБ|M.2||3D TLC NAND|925 МБ/с|3400 МБ/с||1500 G|2 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|1095 ТБ|0.6 раз/день||25 тыс|199 тыс|||||||||||
Samsung PM893 MZ7L37T6HBLA MZ7L37T6HBLA|внутренний|для сервера|7680 ГБ|"2.5"""|SATA 3|3D TLC NAND / Samsung V6 (128 Layer) TLC V-NAND /|520 МБ/с|550 МБ/с|||2 млн. ч||100x70x7 мм|||5 лет||||1 раз/день|Есть|30 тыс|98 тыс|||||||||||
Silicon Power UD85 SP01KGBP44UD8505 SP01KGBP44UD8505|внутренний||1000 ГБ|M.2||3D NAND|2800 МБ/с|3600 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть||||||||||||4713436150435||||
WD Green SN350 WDS200T3G0C S200T3G0C|внутренний||2000 ГБ|M.2||3D QLC NAND|3000 МБ/с|3200 МБ/с||1500 G|1 млн. ч||22x80 мм|||3 года|PCI-E 3.0 4x|Есть|100 ТБ|||450 тыс|500 тыс|||||||0718037886022||||
Kingston KC600 mSATA SKC600MS/256G SKC600MS\/256G|внутренний||256 ГБ|mini-SATA||3D TLC NAND|500 МБ/с|550 МБ/с||1500 G|1 млн. ч||51x10 мм||Silicon Motion SM2259|5 лет|||150 ТБ|0.3 раз/день||80 тыс|90 тыс|||||||||||
Apacer AS2280Q4 M.2 AP500GAS2280Q4-1 AP500GAS2280Q4-1|внутренний||512 ГБ|M.2||3D TLC NAND|2500 МБ/с|5000 МБ/с||1500 G|1.5 млн. ч||22x80 мм||Phison PS5016-E16|3 года|PCI-E 4.0 4x|Есть||||||||||Есть||4712389917881||||
Team Group MS30 M.2 TM8PS7001T0C101 TM8PS7001T0C101|внутренний||1000 ГБ|M.2||TLC|480 МБ/с|530 МБ/с|||1.5 млн. ч||22x80 мм|||3 года|SATA 3||240 ТБ|0.2 раз/день||||||||||||||
Kingston DC500M SEDC500M/480G SEDC500M\/480G|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|3D TLC NAND|520 МБ/с|555 МБ/с|||2 млн. ч||100x70x7 мм|92 г|||||1139 ТБ|1.3 раз/день||58 тыс|98 тыс||||||Есть|||||
Kingston DC500M SEDC500M/960G SEDC500M\/960G|внутренний|для сервера|960 ГБ|"2.5"""|SATA 3|3D TLC NAND|520 МБ/с|555 МБ/с|||2 млн. ч||100x70x7 мм|92 г|||||2278 ТБ|1.3 раз/день||70 тыс|98 тыс||||||Есть|||||
Kingston DC1000B SEDC1000BM8/480G SEDC1000BM8\/480G|внутренний|для сервера|480 ГБ|M.2||3D TLC NAND|565 МБ/с|3200 МБ/с||1500 G|2 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|475 ТБ|0.5 раз/день||20 тыс|205 тыс|||||||||||
Crucial P3 CT1000P3SSD8 CT1000P3SSD8|внутренний||1000 ГБ|M.2||3D TLC NAND|3000 МБ/с|3500 МБ/с|||||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|220 ТБ|0.1 раз/день||||||||||0649528918796||||
Kingston DC1500M SEDC1500M/960G SEDC1500M\/960G|внутренний|для сервера|960 ГБ|"2.5"""|U.2 / NVMe Gen3 x4 /|3D TLC NAND|1700 МБ/с|3100 МБ/с||1500 G|2 млн. ч|||145 г||5 лет||Есть|1681 ТБ|1 раз/день||150 тыс|440 тыс|||||||0740617320794||||
Silicon Power Slim S55 SP240GBSS3S55S25 SP240 ГБSS3S55S25|внутренний||240 ГБ|"2.5"""|SATA 3|3D TLC NAND|370 МБ/с|460 МБ/с||1500 G|1.5 млн. ч||100x70x7 мм|63 г|Phison PS3108-S8|3 года||||||80 тыс|||||||Есть|4712702629156||||
A-Data Elite SE880 AELI-SE880-1TCGY AELI-SE880-1TCGY|внешний||1000 ГБ|"1.8"""|USB C 3.2 gen2x2|3D TLC NAND|2000 МБ/с|2000 МБ/с||||пластик|65x35x12 мм|31 г||5 лет||||||||USB C – USB C и USB C – USB A||||||||||
Transcend 830S M.2 TS256GMTS830S TS256GMTS830S|внутренний||256 ГБ|M.2||3D TLC NAND|500 МБ/с|560 МБ/с|||2.5 млн. ч||22x80 мм|||5 лет|SATA 3||||||||||||Есть|||||
A-Data XPG SX8100 ASX8100NP-1TT-C ASX8100NP-1TT-C|внутренний||1000 ГБ|M.2||3D TLC NAND|3000 МБ/с|3500 МБ/с||1500 G|2 млн. ч||22x80 мм||Realtek RTS5762|5 лет|PCI-E 3.0 4x|Есть|640 ТБ|0.4 раз/день||240 тыс|290 тыс|||||||||||
Kingston XS2000 SXS2000/2000G SXS2000\/2000G|внешний||2000 ГБ||USB C 3.2 gen2x2|3D TLC NAND|2000 МБ/с|2000 МБ/с||||металл|70x33x14 мм|29 г||5 лет|||||||||Есть||IP55|||||||
Crucial P3 CT2000P3SSD8 CT2000P3SSD8|внутренний||2000 ГБ|M.2||3D TLC NAND|3000 МБ/с|3500 МБ/с|||||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|440 ТБ|0.1 раз/день||||||||||0649528918802||||
Apacer AS2280P4U Pro M.2 AP256GAS2280P4UPRO-1 AP256GAS2280P4UPRO-1|внутренний||256 ГБ|M.2||3D TLC NAND|1200 МБ/с|3500 МБ/с||1500 G|1.8 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|170 ТБ|0.4 раз/день||315 тыс|210 тыс|||||Есть|Есть|||||
Apacer AST280 M.2 AP120GAST280-1 AP120GAST280-1|внутренний||120 ГБ|M.2||TLC|470 МБ/с|500 МБ/с||1500 G|1.5 млн. ч||22x80 мм|6 г||3 года|SATA 3|||||||||||||4712389914095||||
Kingston DC450R SEDC450R/3840G SEDC450R\/3840G|внутренний||3800 ГБ|"2.5"""|SATA 3|3D TLC NAND|525 МБ/с|560 МБ/с||1500 G|2 млн. ч|||||5 лет|||2823 ТБ|0.3 раз/день||26 тыс|99 тыс|||||||||||
WD Blue SA510 M.2 WDS250G3B0B S250G3B0B|внутренний||250 ГБ|M.2||3D TLC NAND|440 МБ/с|555 МБ/с|||1.75 млн. ч||22x80 мм|||5 лет|SATA 3||100 ТБ|0.2 раз/день||78 тыс|80 тыс|||||||||||
Intel D3-S4510 SSDSC2KB240G801 SSDSC2KB240G801|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|3D TLC NAND|280 МБ/с|560 МБ/с||1000 G|2 млн. ч||100x70x7 мм|||5 лет|||||Есть|16 тыс|90 тыс|||||||0735858362047||||
KingSpec NE M.2 NE-128 2280 NE-128 2280|внутренний||128 ГБ|M.2||3D TLC NAND|600 МБ/с|1500 МБ/с||1500 G|1 млн. ч||22x80 мм||Silicon Motion SM2263XT||PCI-E 3.0 4x|Есть|87 ТБ||||||||||Есть|||||
Transcend MTE250H TS1TMTE250H TS1TMTE250H|внутренний||1000 ГБ|M.2||3D TLC NAND|6200 МБ/с|7200 МБ/с|||3 млн. ч||23x80x9.2 мм|||5 лет|PCI-E 4.0 4x|Есть|1480 ТБ|0.8 раз/день||420 тыс|530 тыс|||||Есть|Есть|||||
Patriot Memory P400 M.2 P400P1TBM28H P400P1TBM28H|внутренний||1000 ГБ|M.2|||4800 МБ/с|5000 МБ/с|||2 млн. ч||22x80 мм|9 г||3 года|PCI-E 4.0 4x|Есть|800 ТБ|0.7 раз/день||550 тыс|620 тыс|||||Есть||||||
Transcend MTS820S M.2 TS240GMTS820S TS240GMTS820S|внутренний||240 ГБ|M.2||3D TLC NAND|430 МБ/с|500 МБ/с||1500 G|1 млн. ч||22x80 мм|||3 года|SATA 3||80 ТБ|0.3 раз/день||75 тыс|40 тыс||||||Есть|||||
Transcend 240S TS1TMTE240S TS1TMTE240S|внутренний||1000 ГБ|M.2||3D TLC NAND|3200 МБ/с|3800 МБ/с|||||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|1700 ТБ|1 раз/день||560 тыс|370 тыс||||||Есть|||||
SanDisk Portable SSD SDSSDE30-2T00-G25 SDSSDE30-2T00-G25|внешний||2000 ГБ|"1.8"""|USB C 3.2 gen2|3D TLC NAND||520 МБ/с||1500 G||пластик|97x47x10 мм|||3 года||||||||USB C – USB A||||||0619659183684||||
Gigabyte AORUS Gen5 10000 SSD AG510K1TB AG510K1TB|внутренний||1000 ГБ|M.2||3D TLC NAND / 232-layer /|8500 МБ/с|9500 МБ/с|2000 МБ / LPDDR4 /||1.6 млн. ч||22x80 мм||Phison E26|5 лет|PCI-E 5.0 4x|Есть|700 ТБ|0.4 раз/день||||||||Есть||||||
Crucial P3 CT500P3SSD8 CT500P3SSD8|внутренний||500 ГБ|M.2||3D TLC NAND|1900 МБ/с|3500 МБ/с|||||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|110 ТБ|0.1 раз/день||||||||||0649528918758||||
Team Group MS30 M.2 TM8PS7512G0C101 TM8PS7512G0C101|внутренний||512 ГБ|M.2||TLC|430 МБ/с|530 МБ/с|||1.5 млн. ч||22x80 мм|||3 года|SATA 3||120 ТБ|0.2 раз/день||||||||||||||
Kingston XS2000 SXS2000/1000G SXS2000\/1000G|внешний||1000 ГБ||USB C 3.2 gen2x2|3D TLC NAND|2000 МБ/с|2000 МБ/с||||металл|70x33x14 мм|29 г||5 лет|||||||||Есть||IP55|||||||
WD Red SN700 WDS400T1R0C S400T1R0C|внутренний|для сервера|4000 ГБ|M.2||3D TLC NAND|3100 МБ/с|3400 МБ/с|||||22x80 мм|8 г||5 лет|PCI-E 3.0 4x|Есть|5100 ТБ|0.7 раз/день||520 тыс|550 тыс|||||||0718037891422||||
Netac SA500 NT01SA500-240-S3X NT01SA500-240-S3X|внутренний||240 ГБ|"2.5"""|SATA 3|3D TLC NAND|450 МБ/с|520 МБ/с|||1.5 млн. ч||100x70x7 мм|||3 года|||120 ТБ|0.5 раз/день|||||||||Есть|||||
Silicon Power UD90 SP500GBP44UD9005 SP500 ГБP44UD9005|внутренний||500 ГБ|M.2||3D TLC NAND|4800 МБ/с|5000 МБ/с|||1.5 млн. ч||22x80 мм||Phison PS5021-E21T|5 лет|PCI-E 4.0 4x|Есть|300 ТБ|0.3 раз/день||||||||||4713436147299||||
Apacer AST280 M.2 AP240GAST280-1 AP240GAST280-1|внутренний||240 ГБ|M.2||TLC|495 МБ/с|520 МБ/с||1500 G|1.5 млн. ч||22x80 мм|6 г||3 года|SATA 3|||||||||||||4712389914101||||
Apacer AS2280P4U M.2 AP1TBAS2280P4U-1 AP1TBAS2280P4U-1|внутренний||1000 ГБ|M.2||3D TLC NAND|3000 МБ/с|3500 МБ/с||1500 G|1.8 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|760 ТБ|0.4 раз/день||670 тыс|670 тыс||||||Есть|||||
Dell M.2 SATA 400-ASDQ 400-ASDQ|внутренний|для сервера|240 ГБ|M.2|||||||||22x80 мм||||SATA 3|||||||||||||||||
PNY CS900 SSD7CS900-120-PB SSD7CS900-120-PB|внутренний||120 ГБ|"2.5"""|SATA 3|3D TLC NAND|450 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|45 г|Phison PS3111-S11-13|3 года|||||||||||||Есть|||||
Kingston DC500M SEDC500M/1920G SEDC500M\/1920G|внутренний|для сервера|1920 ГБ|"2.5"""|SATA 3|3D TLC NAND|520 МБ/с|555 МБ/с|||2 млн. ч||100x70x7 мм|92 г|||||4555 ТБ|1.3 раз/день||75 тыс|98 тыс||||||Есть|||||
Kingston DC1500M SEDC1500M/1920G SEDC1500M\/1920G|внутренний|для сервера|1920 ГБ|"2.5"""|U.2 / NVMe Gen3 x4 /|3D TLC NAND|2700 МБ/с|3300 МБ/с||1500 G|2 млн. ч|||145 г||5 лет||Есть|3362 ТБ|1 раз/день||220 тыс|510 тыс|||||||||||
Corsair MP600 PRO XT CSSD-F4000GBMP600PXT CSSD-F4000 ГБMP600PXT|внутренний||4000 ГБ|M.2||3D TLC NAND|6800 МБ/с|7100 МБ/с||1500 G|1.6 млн. ч||23x80x19 мм|66 г||5 лет|PCI-E 4.0 4x|Есть|3000 ТБ|0.5 раз/день||1200 тыс|1000 тыс|||||Есть||0840006645108||||
Transcend SSD225S TS2TSSD225S TS2TSSD225S|внутренний||2000 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|45 г||3 года|||720 ТБ|0.3 раз/день||80 тыс|55 тыс||||||Есть|0760557859130||||
Kingston DC500R SEDC500R/960G SEDC500R\/960G|внутренний||960 ГБ|"2.5"""|SATA 3|3D TLC NAND|525 МБ/с|555 МБ/с|||2 млн. ч||100x70x7 мм|92 г||5 лет|||876 ТБ|0.5 раз/день||20 тыс|98 тыс||||||Есть|||||
Kingston DC1500M SEDC1500M/3840G SEDC1500M\/3840G|внутренний|для сервера|3840 ГБ|"2.5"""|U.2 / NVMe Gen3 x4 /|3D TLC NAND|2700 МБ/с|3100 МБ/с||1500 G|2 млн. ч|||145 г||5 лет||Есть|6725 ТБ|1 раз/день||210 тыс|480 тыс|||||||||||
MSI SPATIUM M570 PCIe 5.0 NVMe M.2 HS S78-440L1M0-P83 S78-440L1M0-P83|внутренний||1000 ГБ|M.2||3D NAND|8500 МБ/с|9500 МБ/с|2000 МБ / LPDDR4 /||1.6 млн. ч||23x80.4x20.4 мм||PHISON E26|5 лет|PCI-E 5.0 4x|Есть|700 ТБ|0.4 раз/день||1500 тыс|1300 тыс|||||Есть|Есть|4711377108812||||
Patriot Memory P220 P220S1TB25 P220S1TB25|внутренний||1000 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|550 МБ/с|||||100x70x7 мм||Phison S12|3 года|||480 ТБ|0.4 раз/день||50 тыс|50 тыс||||||Есть|4711378422368||||
Transcend ESD260C TS500GESD260C TS500GESD260C|внешний||500 ГБ|M.2|USB C 3.2 gen2|3D TLC NAND|460 МБ/с|520 МБ/с||||металл|81x34x8 мм|33 г||3 года||||||||USB C – USB C и USB C – USB A||||||||||
Transcend MTS820S M.2 TS120GMTS820S TS120GMTS820S|внутренний||120 ГБ|M.2||3D TLC NAND|350 МБ/с|500 МБ/с||1500 G|1 млн. ч||22x80 мм|||3 года|SATA 3||40 ТБ|0.3 раз/день||75 тыс|28 тыс||||||Есть|||||
