|Объем памяти комплекта|Кол-во планок в комплекте|Форм-фактор памяти|Тип памяти|Тактовая частота|Пропускная способность|CAS-латентность|Схема таймингов памяти|Рабочее напряжение|Тип охлаждения|Профиль планки|Дополнительно|Маркировка производителя|Высота планки|Ранг памяти|Синхронизация подсветки|Код EAN / UPS / GTIN
Kingston Fury Renegade DDR4 Black 4x8Gb KF432C16RB2K4\/32|32 ГБ|4 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42 мм|одноранговая||
Kingston Fury Renegade DDR4 Black 2x16Gb KF446C19RB12K2\/32|32 ГБ|2 шт|DIMM|DDR4|4600 МГц|36800 МБ/с|CL19|19-26-26|1.5 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42 мм|двухранговая||
Patriot Memory Signature DDR4 1x16Gb PSD416G26662|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный|||32 мм|||0814914024317, 0814914025598
A-Data XPG Spectrix D60G DDR4 RGB 1x16Gb AX4U360016G18I-ST60|16 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||48 мм||multi compatibility|4711085934406
Patriot Memory Viper Steel DDR4 2x8Gb PVS416G300C6K|16 ГБ|2 шт|DIMM|DDR4|3000 МГц|24000 МБ/с|CL16|16-18-18-36|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||44.4 мм|||0814914025475
Crucial Value DDR4 1x8Gb CT8G4DFS832A|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||||
Patriot Memory Viper Steel SO-DIMM DDR4 1x8Gb PVS48G266C8S|8 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL18|18-18-18-43|1.2 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP||30 мм|||
Patriot Memory Signature DDR4 1x8Gb PSD48G213381|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|||32 мм|одноранговая||0814914022641
Kingston KSM HDR DDR4 1x32Gb KSM32RD4\/32HDR|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Team Group Elite DDR4 1x8Gb TED48G3200C2201|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22-52|1.2 В|без охлаждения|стандартный||||одноранговая||
Patriot Memory Signature DDR5 1x16Gb PSD516G480081|16 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40-77|1.1 В|без охлаждения|стандартный|||32 мм|||0814914029114
Kingston KSM ValueRAM DDR4 1x8Gb KSM29RS8\/8HDR|8 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||одноранговая||
Patriot Memory Viper Steel DDR4 2x4Gb PVS48G320C6K|8 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18-36|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||44.4 мм|||0814914026458
G.Skill Ripjaws S5 DDR5 2x32Gb F5-6000J3636F32GX2-RS5K|64 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL36|36-36-36-96|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||33 мм|||4713294233868
Patriot Memory Viper Elite II DDR4 1x8Gb PVE248G320C8|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||35 мм|||
Patriot Memory Signature DDR5 1x8Gb PSD58G480041|8 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40-77|1.1 В|без охлаждения|стандартный|||32 мм|||0814914029176
Crucial MTA DDR4 1x16Gb MTA18ASF2G72PDZ-3G2R1|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston KSM HC SO-DIMM DDR4 1x16Gb KSM32SES8\/16HC|16 ГБ|1 шт|SO-DIMM|DDR4 / SK-Hynix /|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка ECC|||одноранговая||0740617325799
Kingston KSM MR DDR4 1x16Gb KSM32ED8\/16MR|16 ГБ|1 шт|DIMM|DDR4 / Micron /|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка ECC|||двухранговая||0740617325164
Patriot Memory Viper Xtreme 5 RGB 2x16Gb PVXR532G80C38K|32 ГБ|2 шт|DIMM|DDR5|8000 МГц|64000 МБ/с|CL38|38-48-48-84|1.45 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||multi compatibility|4711378425048
Corsair Vengeance LPX DDR4 1x8Gb CMK8GX4M1A2666C16|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18-35|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|CMK8GX4M1A2666C16, CMK8GX4M1A2666C16R|33 мм|||0843591069564, 0843591069717
Kingston KSM HD DDR4 1x8Gb KSM32ES8\/8HD|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка ECC|||одноранговая||0740617312218
Kingston KVR SO-DIMM DDR4 1x8Gb KVR26S19S6\/8|8 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||одноранговая||0740617311341
Patriot Memory Viper Elite II DDR4 1x16Gb PVE2416G320C8|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||35 мм|||0814914028766
Team Group Elite DDR4 1x8Gb TED48G2666C1901|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный||||одноранговая||
Patriot Memory Signature Premium 1x8Gb PSP48G320081H1|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|радиатор|стандартный|||37 мм|одноранговая||0814914027110
Patriot Memory Signature DDR4 1x16Gb PSD416G32002|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22-52|1.2 В|без охлаждения|стандартный|||32 мм|||
Transcend JetRam DDR4 1x32Gb JM3200HLE-32G|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||двухранговая||0760557848882
Kingston Fury Beast DDR3 1x8Gb KF316C10BB\/8|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL10|10-10-10|1.5 В|радиатор|стандартный||KF316C10B/8, KF316C10BB/8, KF316C10BR/8|34 мм|двухранговая||0740617318098, 0740617318111, 0740617318135
Kingston KVR SO-DIMM DDR5 1x16Gb KVR48S40BS8-16|16 ГБ|1 шт|SO-DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-39-39|1.1 В|без охлаждения|стандартный||||||0740617327113
Kingston Fury Beast DDR4 RGB 2x8Gb KF436C17BB2AK2\/16|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL17|17-21-21|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|одноранговая|multi compatibility|
A-Data XPG Spectrix D41 DDR4 2x16Gb AX4U360016G18I-DT41|32 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-20-20-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||45.8 мм||multi compatibility|4711085934482
Team Group T-Force Delta RGB 2x16Gb TF3D432G3200HC16FDC01|32 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-40|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||49 мм|||
Samsung M378 DDR4 1x8Gb M378A1G44AB0-CWE|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка ECC|||одноранговая||2000001112373
Kingston Fury Beast DDR4 RGB 4x32Gb KF436C18BB2AK4\/128|128 ГБ|4 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|двухранговая|multi compatibility|
Patriot Memory Signature Premium 2x8Gb PSP416G2666KH1|16 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|радиатор|стандартный|||37 мм|одноранговая||0814914025819
Kingston Fury Beast DDR5 2x8Gb KF560C36BBEK2-16|16 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL36|36-38-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO||34.9 мм|одноранговая||
Kingston ValueRAM DDR3 1x4Gb KVR16N11S8\/4|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|низкий|||30 мм|||
Patriot Memory Viper Steel DDR4 1x16Gb PVS416G300C6|16 ГБ|1 шт|DIMM|DDR4|3000 МГц|24000 МБ/с|CL16|16-18-18-36|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||44.4 мм|||
Patriot Memory Viper Steel RGB 2x32Gb PVSR464G360C0K|64 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL20|20-26-26-46|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||multi compatibility|
Kingston KSM HDI DDR4 1x16Gb KSM26RS4\/16HDI|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||одноранговая||
HyperX Fury DDR3 1x8Gb HX316C10FB\/8|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL10|10-10-10-30|1.5 В|радиатор|стандартный||HX316C10F/8, HX316C10FB/8, HX316C10FR/8, HX316C10FW/8|32.8 мм|||
Apacer DDR4 1x16Gb AU16GGB26CQYBGH|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
Kingston Fury Beast DDR4 1x16Gb KF437C19BB1\/16|16 ГБ|1 шт|DIMM|DDR4|3733 МГц|29800 МБ/с|CL19|19-23-23|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34 мм|двухранговая||0740617319682
Kingston KVR DDR5 1x16Gb KVR52U42BS8-16|16 ГБ|1 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL42||1.1 В|без охлаждения|стандартный|||31.25 мм|одноранговая||0740617332803
Team Group T-FORCE Delta RGB DDR5 2x32Gb FF3D564G6000HC38ADC01|64 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL38|38-38-38-78|1.3 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||multi compatibility|
Kingston KSM HDR DDR4 1x16Gb KSM32RS4\/16HDR|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||одноранговая||
G.Skill Ripjaws S5 DDR5 2x32Gb F5-5200J3636D32GX2-RS5K|64 ГБ|2 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL36|36-36-36-83|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|F5-5200J3636D32GA2-RS5K, F5-5200J3636D32GA2-RS5W, F5-5200J3636D32GX2-RS5K, F5-5200J3636D32GX2-RS5W|33 мм|||4713294231628, 4713294231635, 4713294231772
Apacer DDR4 1x16Gb EL.16G2V.GNH|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
Apacer AS DDR4 SO-DIMM 1x8Gb AS08GGB26CQYBGH|8 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
Patriot Memory Signature DDR4 1x4Gb PSD44G266681|4 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный|||32 мм|||
Team Group Elite SO-DIMM DDR3 1x8Gb TED38G1600C11-S01|8 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-28|1.5 В|без охлаждения|стандартный||TED38G1600C11-S01, TED38G1600C11-SBK||||
Corsair ValueSelect DDR4 1x8Gb CMV8GX4M1A2666C18|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL18|18-18-18-43|1.2 В|радиатор|стандартный||||||0843591063036
Kingston KVR ValueRAM DDR4 1x16Gb KVR26N19S8\/16|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|||31.2 мм|одноранговая||
Patriot Memory Viper Steel DDR4 1x16Gb PVS416G360C8|16 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||44.4 мм|||0814914027264
Kingston KVR DDR5 1x8Gb KVR52U42BS6-8|8 ГБ|1 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL42|42-42-42|1.1 В|без охлаждения|стандартный|||31.25 мм|одноранговая||0740617332766
Patriot Memory Signature DDR3 1x4Gb PSD34G13332|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный||||||0879699009720
G.Skill Trident Z5 Neo DDR5 2x16Gb F5-6000J3636F16GX2-TZ5N|32 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL36|36-36-36-96|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка EXPO|||||4713294232663
Kingston Fury Beast DDR4 4x16Gb KF426C16BB1K4\/64|64 ГБ|4 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34 мм|двухранговая||0740617320138
Patriot Memory Viper Steel SO-DIMM DDR4 1x16Gb PVS416G266C8S|16 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL18|18-18-18-43|1.2 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP||30 мм|||
A-Data XPG Gammix D45 1x8Gb AX4U36008G18I-CBKD45|8 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||39.17 мм|||
Kingston KSM HDR DDR4 1x8Gb KSM32RS8\/8HDR|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка ECC|||одноранговая||
Kingston KVR SO-DIMM DDR5 1x32Gb KVR48S40BD8-32|32 ГБ|1 шт|SO-DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-39-39|1.1 В|без охлаждения|стандартный||||||0740617327137
Patriot Memory Viper Steel DDR4 2x8Gb PVS416G360C7K|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL17|17-19-19-39|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||44.4 мм|||0814914025536
Kingston Fury Beast DDR4 4x32Gb KF426C16BBK4\/128|128 ГБ|4 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34 мм|двухранговая||
Corsair Vengeance SO-DIMM DDR4 2x16Gb CMSX32GX4M2A3200C22|32 ГБ|2 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22-53|1.2 В|без охлаждения|стандартный||||||0840006631897
Lenovo ThinkSystem DDR4 1x32Gb 4X77A08633|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|||1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||0889488509980
Silicon Power DDR4 1x8Gb SP008 ГБLFU320X02|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22||1.2 В|без охлаждения|стандартный||SP008GBLFU320B02, SP008GBLFU320X02||||4713436137405, 4713436144090
Kingston KSM HD DDR4 1x8Gb KSM26ES8\/8HD|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка ECC|||одноранговая||
Patriot Memory Signature SO-DIMM DDR5 1x16Gb PSD516G480081S|16 ГБ|1 шт|SO-DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40-70|1.1 В|без охлаждения|стандартный|||30 мм|двухранговая||0814914029480
Kingston Fury Beast DDR5 RGB 1x16Gb KF552C40BBA-16|16 ГБ|1 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL40|40-40-40|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|KF552C40BBA-16, KF552C40BWA-16|42.23 мм|одноранговая|multi compatibility|0740617328639, 0740617333916
AMD R7 Performance DDR4 1x16Gb R7S416G2606U2S|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-16-16|1.2 В|радиатор|стандартный||||||
AMD Value Edition SO-DIMM DDR4 1x8Gb R748G2400S2S-UO|8 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL16|16-16-16-36|1.2 В|без охлаждения|стандартный||R748G2400S2S-U, R748G2400S2S-UO||||
Kingston KSM ValueRAM DDR4 1x8Gb KSM26RS8\/8HDI|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||одноранговая||
Kingston KVR ValueRAM DDR4 1x4Gb KVR21E15S8\/4|4 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с||15-15-15|1.2 В|без охлаждения|стандартный|поддержка ECC||31.2 мм|одноранговая||
