|Подключение|Профессиональная|DVI-D|DVI-I|DisplayPort|Макс. подключаемых мониторов|Охлаждение|Потребляемая мощность|Дополнительное питание|Занимаемых слотов|Длина видеокарты|Модель GPU|Объем памяти|Тип памяти|Разрядность шины|Частота работы GPU|Частота работы памяти|Техпроцесс|Макс. разрешение|Версия DirectX|Версия OpenGL|Потоковых процессоров|Версия потоковых процессоров|Текстурных блоков|HDMI|Кол-во  вентиляторов|Тест Passmark G3D Mark|Маркировка производителя|Версия HDMI|Версия DisplayPort|Рекомендуемая мощность БП от|Поддержка VR|LHR (low hash rate)|Архитектура|Подсветка|miniDisplayPort|USB C|Синхронизация подсветки|Низкопрофильная (low profile)|Поддержка CrossFire/SLI|VGA|Создано для майнинга|Код EAN / UPS / GTIN|Слот M.2|miniHDMI|Внешняя
XFX Radeon RX 580 RX-580P8DFD6|PCI-E v3.0||1 шт||3 шт|5|активное (кулер)|185 Вт|8 pin|2|270 мм|AMD Radeon RX 580|8 ГБ|GDDR5|256 бит|1386 МГц|8100 МГц|14 нм|4096x2160 пикс|12|4.5|2304|5|144|1 шт|2 шт|8443 балл(ов)||||500 Вт|Есть||||||||Есть||||||
Gigabyte GeForce RTX 3080 GAMING OC WATERFORCE WB LHR 10G GV-N3080GAMINGOC WB-10GD 2.0 LHR|PCI-E v4.0||||3 шт|4|жидкостное (ватерблок)||8 + 8 pin|2|310 мм|NVIDIA GeForce RTX 3080|10 ГБ|GDDR6X|320 бит|1800 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8704|||2 шт||23907 балл(ов)|GV-N3080GAMINGOC WB-10GD 2.0 LHR|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||Gigabyte RGB Fusion||||||||
Gigabyte GeForce RTX 2060 D6 6G GV-N2060D6-6GD|PCI-E v3.0||||3 шт|4|активное (кулер)||8 pin|2|225 мм|NVIDIA GeForce RTX 2060|6 ГБ|GDDR6|192 бит|1680 МГц|14000 МГц|12 нм|7680x4320 пикс|12 Ultimate|4.6|1920||120|1 шт|2 шт|13121 балл(ов)|GV-N2060D6-6GD|v.2.0b|v.1.4|500 Вт|Есть||||||||||||||
MSI GeForce RTX 4090 GAMING X TRIO 24G|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3.7|337 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||1 шт|3 шт|||v.2.1a|v.1.4a|850 Вт|Есть|||Есть|||MSI Mystic Light Sync||||||||
Palit GeForce RTX 3070 Ti GamingPro NED307T019P2-1046A|PCI-E v4.0||||3 шт|4|активное (кулер)|290 Вт|8 + 8 pin|2.7|294 мм|NVIDIA GeForce RTX 3070 Ti|8 ГБ|GDDR6X|256 бит|1770 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|6144|||1 шт|3 шт|22492 балл(ов)|NED307T019P2-1046A|v.2.1|v.1.4a|700 Вт|Есть|Есть||Есть|||||||||||
Asus GeForce RTX 4090 ROG Strix OC 24GB ROG-STRIX-RTX4090-O24G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3.5|358 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит|2640 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||2 шт|3 шт||ROG-STRIX-RTX4090-O24G-GAMING|v.2.1a|v.1.4a|1000 Вт|Есть|||Есть|||Asus Aura Sync||||||||
Gigabyte GeForce RTX 3050 EAGLE 8G GV-N3050EAGLE-8GD|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2|213 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1777 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||2 шт|2 шт||GV-N3050EAGLE-8GD|v.2.1|v.1.4a|450 Вт|Есть||||||||||||||
Asus GeForce RTX 2060 DUAL EVO OC 12GB DUAL-RTX2060-O12G-EVO|PCI-E v3.0||1 шт||1 шт|4|активное (кулер)||8 pin|2.7|242 мм|NVIDIA GeForce RTX 2060|12 ГБ|GDDR6|192 бит|1710 МГц|14000 МГц|12 нм|7680x4320 пикс|12 Ultimate|4.6|2176|||2 шт|2 шт|13121 балл(ов)|DUAL-RTX2060-O12G-EVO|v.2.0b|v.1.4|500 Вт|Есть|||Есть|||||||||||
MSI GeForce RTX 3060 GAMING X 12G LHR|PCI-E v4.0||||3 шт|4|активное (кулер)||6 + 8 pin|2.5|276 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1837 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|2 шт|16618 балл(ов)||v.2.1|v.1.4a|550 Вт|Есть|Есть||Есть|||MSI Mystic Light Sync||||||||
Asus GeForce RTX 3060 Ti Dual V2 OC Mini LHR DUAL-RTX3060TI-O8G-MINI-V2|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2|200 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6|256 бит|1710 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)|DUAL-RTX3060TI-O8G-MINI-V2|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||||||||||
Palit GeForce RTX 4070 Ti GameRock Classic NED407T019K9-1046G|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.2|314 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2610 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|NED407T019K9-1046G|v.2.1|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть||||||||4710562243529|||
Gigabyte GeForce RTX 3060 Ti EAGLE LHR 8G GV-N306TEAGLE-8GD 2.0 LHR|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2|242 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6|256 бит|1665 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||2 шт|2 шт|19523 балл(ов)|GV-N306TEAGLE-8GD 2.0 LHR|v.2.1|v.1.4a|600 Вт|Есть|Есть|||||||||||||
Palit GeForce RTX 3050 Dual OC NE63050T19P1-190AD|PCI-E v4.0||||3 шт|4|активное (кулер)|130 Вт|8 pin|2|245 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1822 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|2 шт||NE63050T19P1-190AD|v.2.1|v.1.4a|550 Вт|Есть||||||||||||||
MSI GeForce GTX 1660 SUPER GAMING|PCI-E v3.0||||3 шт|4|активное (кулер)|125 Вт|8 pin|2|247 мм|NVIDIA GeForce GTX 1660 SUPER|6 ГБ|GDDR6|192 бит|1785 МГц|14000 МГц|12 нм|7680x4320 пикс|12|4.6|1408||88|1 шт|2 шт|12677 балл(ов)||v.2.0b|v.1.4|450 Вт|Есть|||Есть|||MSI Mystic Light Sync||||||||
Gigabyte GeForce RTX 3060 Ti GAMING OC D6X 8G GV-N306TXGAMING OC-8GD|PCI-E v4.0||||2 шт|4|активное (кулер)||8 + 8 pin|2.5|286 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6X|256 бит|1755 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||2 шт|3 шт|19523 балл(ов)|GV-N306TXGAMING OC-8GD|v.2.1|v.1.4a|750 Вт|Есть||Ampere|Есть|||Gigabyte RGB Fusion|||||4719331312329|||
Gigabyte GeForce RTX 3060 Ti EAGLE OC LHR 8G GV-N306TEAGLE OC-8GD 2.0 LHR|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2|242 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6|256 бит|1695 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||2 шт|2 шт|19523 балл(ов)|GV-N306TEAGLE OC-8GD 2.0 LHR|v.2.1|v.1.4a|600 Вт|Есть|Есть|||||||||||||
MSI GeForce RTX 2060 SUPER VENTUS OC|PCI-E v3.0||||3 шт|4|активное (кулер)|175 Вт|8 pin|2|231 мм|NVIDIA GeForce RTX 2060 SUPER|8 ГБ|GDDR6|256 бит|1665 МГц|14000 МГц|12 нм|7680x4320 пикс|12 Ultimate|4.6|2176||136|1 шт|2 шт|13503 балл(ов)||v.2.0b|v.1.4|550 Вт|Есть||||||||||||||
MSI GeForce GTX 1660 SUPER GAMING X|PCI-E v3.0||||3 шт|4|активное (кулер)|125 Вт|8 pin|2|247 мм|NVIDIA GeForce GTX 1660 SUPER|6 ГБ|GDDR6|192 бит|1830 МГц|14000 МГц|12 нм|7680x4320 пикс|12|4.6|1408||88|1 шт|2 шт|12677 балл(ов)||v.2.0b|v.1.4|450 Вт|Есть|||Есть|||MSI Mystic Light Sync||||||||
Gigabyte GeForce RTX 4070 SUPER EAGLE OC ICE 12G GV-N407SEAGLEOC ICE-12GD|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2.5|261 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2535 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|3 шт|30564 балл(ов)|GV-N407SEAGLEOC ICE-12GD|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
MSI Radeon RX 6400 AERO ITX 4G|PCI-E v4.0 / x4 /||||1 шт|2|активное (кулер)|53 Вт||2|172 мм|AMD Radeon RX 6400|4 ГБ|GDDR6|64 бит|2321 МГц|16000 МГц|6 нм||12 Ultimate|4.6|768|||1 шт|1 шт|7324 балл(ов)||v.2.1|v.1.4a|350 Вт|||Big Navi (RDNA 2)||||||||||||
ZOTAC GeForce RTX 4060 Ti 16GB AMP ZT-D40620F-10M|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|165 Вт|8 pin|2.2|226 мм|NVIDIA GeForce RTX 4060 Ti|16 ГБ|GDDR6|128 бит|2595 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт|22604 балл(ов)|ZT-D40620F-10M|v.2.1a|v.1.4a|500 Вт|Есть||Ada Lovelace|Есть|||||||||||
MSI GeForce RTX 4080 SUPER 16G GAMING X TRIO|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3.2|337 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2625 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт|||v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
Gigabyte GeForce RTX 4060 Ti EAGLE OC ICE 8G GV-N406TEAGLEOC ICE-8GD|PCI-E v4.0 / x8 /||||2 шт|4|активное (кулер)||8 pin|2|272 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2550 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||2 шт|3 шт|22604 балл(ов)|GV-N406TEAGLEOC ICE-8GD|v.2.1a|v.1.4a|500 Вт|Есть||Ada Lovelace||||||||||||
ZOTAC GeForce RTX 4070 SUPER Trinity ZT-D40720D-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2.5|307 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2475 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|3 шт||ZT-D40720D-10P|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||||||||||
MSI GeForce RTX 3050 LP 6G OC|PCI-E v4.0||||1 шт|3|активное (кулер)|70 Вт||2|174 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1492 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||2 шт|2 шт|10553 балл(ов)||v.2.1|v.1.4a|300 Вт|Есть||Ampere|||||Есть|||||||
Palit GeForce RTX 3050 KalmX 6GB NE63050018JE-1070H|PCI-E v4.0||1 шт||1 шт|3|пассивное (радиатор)|70 Вт||2|166 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1470 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||1 шт||10553 балл(ов)|NE63050018JE-1070H|v.2.1|v.1.4a|300 Вт|Есть||Ampere||||||||||||
Asus GeForce RTX 4060 Dual OC V2 DUAL-RTX4060-O8G-V2|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2|202 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит|2535 МГц|17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||1 шт|2 шт|18158 балл(ов)|DUAL-RTX4060-O8G-V2|v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace||||||||||||
Asus Radeon RX 7800 XT Dual OC 90YV0JJ1-M0NA00, DUAL-RX7800XT-O16G|PCI-E v4.0 / x16 /||||3 шт|4|активное (кулер)|263 Вт|8 + 8 pin|2.5|280 мм|AMD Radeon RX 7800 XT|16 ГБ|GDDR6|256 бит|2520 МГц|19500 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3840|||1 шт|2 шт|24438 балл(ов)|90YV0JJ1-M0NA00, DUAL-RX7800XT-O16G|v.2.1|v.2.1|750 Вт|||Navi 3X (RDNA 3)||||||||||||
Gigabyte GeForce RTX 4060 EAGLE OC ICE 8G GV-N4060EAGLEOC ICE-8GD|PCI-E v4.0 / x8 /||||2 шт|4|активное (кулер)||8 pin|2|272 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит|2505 МГц|17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||2 шт|3 шт|18158 балл(ов)|GV-N4060EAGLEOC ICE-8GD|v.2.1a|v.1.4a|450 Вт|Есть||Ada Lovelace||||||||||||
MSI GeForce RTX 3050 GAMING X 6G|PCI-E v4.0||||1 шт|3|активное (кулер)|70 Вт||2|205 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1507 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||2 шт|2 шт|10553 балл(ов)||v.2.1|v.1.4a|300 Вт|Есть||Ampere||||||||||||
PNY Quadro M5000|PCI-E v3.0|Есть||1 шт|4 шт|4|активное (кулер)|150 Вт|6 pin|2|267 мм|NVIDIA Quadro M5000|8 ГБ|GDDR5|256 бит|||28 нм|4096x2160 пикс|12|4.5|2048|5|104||||||||||||||||Есть||||||
MSI GeForce RTX 4060 AERO ITX 8G OC|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|115 Вт|8 pin|2|167 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит|2505 МГц|17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||1 шт|1 шт|18158 балл(ов)||v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace||||||||||||
ZOTAC GeForce RTX 3050 Eco ZT-A30500K-10M|PCI-E v4.0||||3 шт|4|активное (кулер)|115 Вт|6 pin|2|222 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1777 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|2 шт|12770 балл(ов)|ZT-A30500K-10M|v.2.1|v.1.4a|450 Вт|Есть||Ampere / GA107 /||||||||||||
MSI GeForce RTX 4080 16GB GAMING SLIM|PCI-E v4.0||||2 шт|4|активное (кулер)|320 Вт|16 pin|3|332 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит|2520 МГц|22400 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|9728|||2 шт|3 шт|34587 балл(ов)||v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
MSI GeForce RTX 4070 Ti GAMING TRIO WHITE 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3|337 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2610 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|31526 балл(ов)||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
PNY Quadro T1000 VCNT1000-8GB-SB|PCI-E v3.0|Есть||||4|активное (кулер)|50 Вт||1|156 мм|NVIDIA Quadro T1000|8 ГБ|GDDR6|128 бит|1455 МГц|||7680x4320 пикс|12|4.5|896||||1 шт|||||350 Вт|||||4 шт|||Есть|||||||
Gigabyte GeForce RTX 4060 D6 8G GV-N4060D6-8GD|PCI-E v4.0 / x8 /||||2 шт|4|активное (кулер)||8 pin|2|170 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит|2460 МГц|17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||2 шт|1 шт|18158 балл(ов)|GV-N4060D6-8GD|v.2.1a|v.1.4a|450 Вт|Есть||Ada Lovelace||||||||||||
MSI GT 1030 AERO ITX 2G OC|PCI-E v3.0||1 шт|||2|активное (кулер)|30 Вт||2|147 мм|NVIDIA GeForce GT 1030|2 ГБ|GDDR5|64 бит|1265 МГц|6008 МГц|14 нм|4096x2160 пикс|12|4.5|384|5|24|1 шт|1 шт|2208 балл(ов)||||300 Вт|||||||||||||||
MSI GeForce RTX 4080 16GB VENTUS 3X E OC|PCI-E v4.0||||2 шт|4|активное (кулер)|320 Вт|16 pin|3|322 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит|2550 МГц|22400 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|9728|||2 шт|3 шт|34587 балл(ов)||v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace||||||||||||
ZOTAC GeForce RTX 4070 SUPER Twin Edge ZT-D40720E-10M|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2|234 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2475 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|2 шт||ZT-D40720E-10M|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||||||||||
MSI GeForce RTX 3050 VENTUS 2X 6G OC|PCI-E v4.0||||1 шт|3|активное (кулер)|70 Вт||2|189 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1492 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||2 шт|2 шт|10553 балл(ов)||v.2.1|v.1.4a|300 Вт|Есть||Ampere||||||||||||
Palit GeForce RTX 3050 StormX 6GB NE63050018JE-1070F|PCI-E v4.0||1 шт||1 шт|3|активное (кулер)|70 Вт||2|162 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1470 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||1 шт|1 шт|10553 балл(ов)|NE63050018JE-1070F|v.2.1|v.1.4a|300 Вт|Есть||Ampere||||||||||||
ZOTAC GeForce RTX 4070 SUPER Twin Edge OC ZT-D40720H-10M|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2|234 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2490 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|2 шт||ZT-D40720H-10M|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||||||||||
Gigabyte GeForce RTX 3050 OC Low Profile 6G GV-N3050OC-6GL|PCI-E v4.0||||2 шт|4|активное (кулер)|||2|181 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1477 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||2 шт|2 шт|12770 балл(ов)|GV-N3050OC-6GL|v.2.1|v.1.4a|300 Вт|Есть||Ampere|||||Есть|||||||
PowerColor Radeon RX 7800 XT Fighter RX 7800 XT 16G-F/OC|PCI-E v4.0 / x16 /||||3 шт|4|активное (кулер)|263 Вт|8 + 8 pin|2.5|303 мм|AMD Radeon RX 7800 XT|16 ГБ|GDDR6|256 бит|2475 МГц|19500 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3840|||1 шт|3 шт|24438 балл(ов)|RX 7800 XT 16G-F/OC|v.2.1|v.2.1|750 Вт|||Navi 3X (RDNA 3)|Есть|||||||||||
PNY Quadro RTX A4000 VCNRTXA4000-PB|PCI-E v4.0|Есть|||4 шт||активное (кулер)|140 Вт|6 pin|1|241 мм|NVIDIA Quadro RTX A4000|16 ГБ|GDDR6|256 бит||||7680x4320 пикс|12|4.5|6144||||1 шт||||v.1.4a||||||||||||||||
Palit GeForce RTX 3050 StormX OC 6GB NE63050S18JE-1070F|PCI-E v4.0||1 шт||1 шт|3|активное (кулер)|70 Вт||2|162 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1492 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||1 шт|1 шт|10553 балл(ов)|NE63050S18JE-1070F|v.2.1|v.1.4a|300 Вт|Есть||Ampere||||||||||||
Asus Radeon RX 7600 XT TUF Gaming OC TUF-RX7600XT-O16G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)|190 Вт|8 pin|3|300 мм|AMD Radeon RX 7600 XT|16 ГБ|GDDR6|128 бит||18000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|3 шт||TUF-RX7600XT-O16G-GAMING|v.2.1|v.2.1|600 Вт|||Navi 3X (RDNA 3)|Есть|||Asus Aura Sync||||||||
Asus GeForce RTX 4070 ProArt 90YV0J12-M0NA00, PROART-RTX4070-12G|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.5|300 мм|NVIDIA GeForce RTX 4070|12 ГБ|GDDR6X|192 бит|2505 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|26394 балл(ов)|90YV0J12-M0NA00, PROART-RTX4070-12G|v.2.1|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
Gigabyte GeForce RTX 4070 WINDFORCE 2X OC 12G GV-N4070WF2OC-12GD|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.2|201 мм|NVIDIA GeForce RTX 4070|12 ГБ|GDDR6X|192 бит|2490 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|2 шт|26394 балл(ов)|GV-N4070WF2OC-12GD|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
MSI GeForce RTX 4060 Ti GAMING SLIM WHITE 8G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|160 Вт|8 pin|2.2|307 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2550 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|3 шт|22604 балл(ов)||v.2.1a|v.1.4a||Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
Asus GeForce RTX 4070 SUPER Dual EVO DUAL-RTX4070S-12G-EVO|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2.5|227 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2505 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|2 шт||DUAL-RTX4070S-12G-EVO|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce GTX 1650 DUAL EVO DUAL-GTX1650-O4GD6-P-EVO|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт|6 pin|2|212 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1785 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)|DUAL-GTX1650-O4GD6-P-EVO|v.2.0b|v.1.4a|300 Вт|||||||||||||||
Gigabyte GeForce RTX 4070 Ti SUPER AERO OC 16G GV-N407TSAERO OC-16GD|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3|300 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт||GV-N407TSAERO OC-16GD|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
Asus GeForce RTX 3050 Dual OC 6GB DUAL-RTX3050-O6G|PCI-E v4.0||1 шт||1 шт|3|активное (кулер)|||2|201 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1537 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||1 шт|2 шт|12770 балл(ов)|DUAL-RTX3050-O6G|v.2.1|v.1.4a|550 Вт|Есть||Ampere||||||||||||
Palit GeForce RTX 3050 StormX OC NE63050S19P1-190AF|PCI-E v4.0||||3 шт|4|активное (кулер)|130 Вт|8 pin|2|170 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1807 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|1 шт|12770 балл(ов)|NE63050S19P1-190AF|v.2.1|v.1.4a|550 Вт|Есть||Ampere / GA106 /||||||||||||
Gigabyte GeForce RTX 3050 EAGLE OC 6G GV-N3050EAGLE OC-6GD|PCI-E v4.0||||2 шт|4|активное (кулер)|||2|192 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1500 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||2 шт|2 шт|12770 балл(ов)|GV-N3050EAGLE OC-6GD|v.2.1|v.1.4a|300 Вт|Есть||Ampere||||||||||||
MSI GeForce RTX 4070 Ti VENTUS 3X E1 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|308 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2625 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|31526 балл(ов)||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
MSI GeForce RTX 4080 16GB GAMING SLIM WHITE|PCI-E v4.0||||2 шт|4|активное (кулер)|320 Вт|16 pin|3|332 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит|2520 МГц|22400 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|9728|||2 шт|3 шт|34587 балл(ов)||v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
