|Мощность|Форм-фактор|Питание MB/CPU|SATA|MOLEX|PCI-E 8pin (6+2)|Система кабелей|+3.3V|+5V|+12V1|-12V|+5Vsb|Мощность +12V|Мощность +3.3V +5V|Мощность -12V|Мощность +5Vsb|Тип PFC|КПД|Система охлаждения|Диаметр вентилятора|Тип подшипника|Сертификат|Стандарт ATX 12В v.|MB|CPU|PCI-E|Защита от перенапряжения (OVP)|Защита от избыточного тока (OPP)|Защита от короткого замыкания (SCP)|Безопасность|Уровень шума|Гарантия производителя|Габариты (ВхШхГ)|Вес|Floppy|Провода в оплетке|Стандарт EPS 12В v.|Маркировка производителя|PCI-E 6pin|+12V2|PCI-E 16pin|Код EAN / UPS / GTIN|+12V3|+12V4|Подсветка|Синхронизация подсветки|PCI-E 8pin
Chieftec Atmos CPX-750FC|750 Вт|ATX|24+8+8(4+4) pin|550 мм|550 мм|4 шт|модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|120 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|700 мм|Есть|Есть|Есть|OTP, SIP, UVP, OCP||5 лет|86x150x140 мм|1.49 кг|||||||1 шт||||||
Xilence Performance C+ XP750R6.2|750 Вт|ATX|24+8+8(4+4) pin|450 мм|750 мм|2 шт|не модульная|24 А|18 А|58 А|0.5 А|2.5 А|696 Вт|120 Вт|6 Вт|12.5 Вт|активная|87 %|1 вентилятор|120 мм|гидродинамический|80+|2.52|500 мм|600 мм|450 мм|Есть|Есть|Есть|OCP, OTP|||86x150x140 мм|||||XN430, XP750R6.2|||||||||
Chieftec Value APB-600B8|600 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|2 шт|не модульная|20 А|20 А|46 А|0.3 А|2.5 А|552 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм||без 80+|2.3|550 мм|550 мм|550 мм|Есть|Есть|Есть|||2 года|87x150x140 мм|1.42 кг|Есть||||||||||||
Chieftec iARENA GPA GPA-700S|700 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|2 шт|не модульная||||||||||активная|72 %|1 вентилятор|120 мм||без 80+|2.3|500 мм|500 мм|500 мм|Есть|Есть|Есть|||2 года|86x150x140 мм||Есть||||||||||||
Cooler Master MWE White V2 MWE 550 WHITE V2|550 Вт|ATX|24+8 (4+4) pin|400 мм|400 мм|2 шт|не модульная|17 А|17 А|45 А|0.3 А|3 А|544 Вт|110 Вт|3.6 Вт|15 Вт|активная|80 %|1 вентилятор|120 мм|гидродинамический|80+|2.52|500 мм|550 мм|500 мм|Есть|Есть|Есть|OTP, UVP|32 дБ|3 года|86x150x140 мм|1.33 кг|||||||||||||
Thermaltake Toughpower GF1 Snow GF1 850W Snow|850 Вт|ATX|24+8+8(4+4) pin|12 шт|4 шт|6 шт|модульная|22 А|22 А|70.9 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм||Есть|||PS-TPD-0850FNFAGE-W||||4713227528894|||||
Aerocool Integrator Gold 1000W|1000 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|20 А|20 А|83 А|0.3 А|3 А|996 Вт|130 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|120 мм||80+ Gold|3|550 мм|600 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP, SIP|||86x150x140 мм|||||ACPG-IMK0FKC.31|||1 шт||||||
Cooler Master MasterWatt MPX-7501-AMAAB|750 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|3 шт|полумодульная||||||||||активная|85 %|полупассивная|120 мм||80+ Bronze|2.4|550 мм|600 мм|550 мм|Есть|Есть|Есть|||5 лет|86x150x140 мм|2.1 кг|Есть|Есть||||||4719512062432|||||
Thermaltake Toughpower PF1 ARGB PF1 ARGB 1050W|1050 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|8 шт|модульная||||||||||активная|92 %|полупассивная|140 мм||80+ Platinum||600 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP|||86x150x180 мм||Есть|||PS-TPD-1050F3FAPE-1, TPD-1050AH3FCP-A||||4713227520584|||Есть|multi compatibility|
Thermaltake Toughpower GF1 Snow GF1 750W Snow|750 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|4 шт|модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм||Есть|||PS-TPD-0750FNFAGE-W||||4713227528870|||||
Cougar Atlas 750|750 Вт|ATX|24+8+8(4+4) pin|450 мм|450 мм|4 шт|не модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|140 Вт|3.6 Вт|15 Вт|активная|86 %|1 вентилятор|120 мм||80+ Bronze||550 мм|600 мм|450 мм|Есть|Есть|Есть|UVP, OCP|20 дБ|2 года|86x150x140 мм|1.83 кг||||31AT075001P01, CGR BA-750|||||||||
Thermaltake Smart BX1 RGB BX1 RGB 650W|650 Вт|ATX|24+8 (4+4) pin|6 шт|4 шт|2 шт|не модульная|23 А|17 А|48 А|0.5 А|2.5 А|576 Вт|110 Вт|6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||2.92|PS-SPR-0650NHSABE-1, SP-650AH2NKB||||4711246873957|||Есть|multi compatibility|
Thermaltake Smart SE 730W|730 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|4 шт|полумодульная||||||||||активная|90 %|1 вентилятор|140 мм||80+ Gold|2.3||||Есть|Есть|Есть|||3 года|86x150x160 мм||Есть||2.92|SPS-0730M||||4713227520898, 4716872052714, 4717964394002|||||
Chieftec Force CPS-650S|650 Вт|ATX|24+8 (4+4) pin|400 мм|400 мм|2 шт|не модульная|22 А|22 А|48.75 А|0.3 А|2.5 А||120 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||без 80+|2.3|450 мм|550 мм|500 мм|Есть|Есть|Есть|||2 года|86x140x150 мм||||||||||||||
Thermaltake Toughpower GF1 ARGB GF1 ARGB 650W|650 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|4 шт|модульная|22 А|22 А|54.2 А|0.3 А|3 А|650 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP|||86x150x160 мм||Есть|||PS-TPD-0650F3FAGE-1, TTP-650AH3FCG-U||||4713227521277|||Есть|multi compatibility|
Thermaltake Toughpower GF1 ARGB GF1 ARGB 750W|750 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|4 шт|модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP|||86x150x160 мм||Есть|||PS-TPD-0750F3FAGE-1, TTP-750AH3FCG-U||||4711246875609, 4713227521291, 4713227521314|||Есть|multi compatibility|
Aerocool Integrator Gold 850W|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|20 А|20 А|70.5 А|0.3 А|3 А|846 Вт|130 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|120 мм||80+ Gold|3|550 мм|600 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP, SIP|||86x150x140 мм|||||ACPG-IM85FKC.31|||1 шт||||||
Chieftec Smart A8 GPS-550A8|550 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|2 шт|не модульная|18 А|18 А|42 А|0.3 А|2.5 А|504 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|скольжения|без 80+|2.3|500 мм|500 мм|500 мм|Есть|Есть|Есть|||2 года|87x150x140 мм||Есть||||||||||||
Thermaltake Toughpower PF1 ARGB PF1 ARGB 850W|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная||||||||||активная|92 %|полупассивная|140 мм||80+ Platinum||600 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP|||86x150x180 мм||Есть|||PS-TPD-0850F3FAPE-1, TPD-850AH3FCP-A||||4713227520560|||Есть|multi compatibility|
Thermaltake Litepower 2 Litepower 550W 230V|550 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть|||2 года|86x150x140 мм||Есть|||LTP-0550P-2, PS-LTP-0550NPCNEU-2||||0841163064047|||||
Chieftec Silicon SLC-750C|750 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|4 шт|модульная||||||||||активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.3||||Есть|Есть|Есть|||2 года|160x150x87 мм||Есть||||||||||||
Cooler Master Gold I Multi MPZ-8501-AFAG|850 Вт|ATX|24+8+8(4+4) pin|500 мм|400 мм|3 шт|модульная|20 А|20 А|70.8 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|135 мм|гидродинамический|80+ Gold|3|650 мм|650 мм|550 мм|Есть|Есть|Есть|||10 лет|86x150x160 мм|2.48 кг|||||||1 шт|0884102092527, 4719512120187, 4719512120194, 4719512120200|||||
Deepcool PF 500|500 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|не модульная|15 А|15 А|40 А|0.3 А|2.5 А|480 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|гидродинамический|80+|2.4|550 мм|610 мм|510 мм|Есть|Есть|Есть|UVP||2 года|86x150x140 мм|||||R-PF500D-HA0B|||||||||
Chieftec Solid GPP-700S|700 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|2 шт|не модульная|22 А|22 А|54 А|0.3 А|2.5 А|648 Вт|130 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||без 80+|2.3|650 мм|650 мм|500 мм|Есть|Есть|Есть|AFC, SIP, UVP||2 года|87x140x150 мм|1.6 кг||||||||0753263076328|||||
Thermaltake Toughpower Grand Platinum Grand 750W Platinum|750 Вт|ATX|24+8 (4+4) pin|8 шт|4 шт|4 шт|модульная||||||||||активная|92 %|1 вентилятор|140 мм||80+ Platinum|2.3||||Есть|Есть|Есть||34 дБ|7 лет|86x150x180 мм||Есть|||PS-TPG-0750FPCP-P, TPG-0750F-P||||0841163066713|||||
Thermaltake Toughpower GF GF 750W|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|20 А|20 А|62 А|0.3 А|2.5 А|744 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|140 мм|гидродинамический|80+ Gold||600 мм|650 мм|500 мм|Есть|Есть|Есть|||10 лет|86x150x160 мм||Есть|||PS-TPD-0750FNFAGE-2, TTP-750AH3FCG-B||||4713227525121|||||
Thermaltake Toughpower Grand RGB Gold RGB 650W Gold|650 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|4 шт|модульная||||||||||активная|90 %|полупассивная|140 мм||80+ Gold|2.4||||Есть|Есть|Есть|||10 лет|86x150x160 мм||Есть||2.92|PS-TPG-0650FPCGEU-S, TPG-650AH3FSG-R||||4711246872554|||Есть||
Thermaltake Toughpower TF1 TF1 1550W|1550 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|12 шт|модульная|22 А|22 А|129 А|0.5 А|3 А|1550 Вт|120 Вт|6 Вт|15 Вт|активная||1 вентилятор|140 мм||80+ Titanium|2.52|600 мм|700 мм|500 мм|Есть|Есть|Есть||||86x150x180 мм|2.4 кг||||PS-TPD-1550FNFATE-1, TTP-1550AH3FCT||||4713227528245|||||
Thermaltake Toughpower iRGB PLUS iRGB Plus 1050W|1050 Вт|ATX|24+8 (4+4) pin|||8 шт|модульная||||||||||активная|95 %|полупассивная|140 мм||80+ Platinum|2.4||||Есть|Есть|Есть|||10 лет|86x160x150 мм||||2.92|PS-TPI-1050F3FDGE-1, TPI-1050F2FDP||||4711246870307|||Есть|multi compatibility|
Thermaltake Toughpower Grand RGB Gold RGB 750W Gold|750 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|4 шт|модульная||||||||||активная|90 %|полупассивная|140 мм||80+ Gold|2.4||||Есть|Есть|Есть|||10 лет|86x150x160 мм||Есть||2.92|PS-TPG-0750FPCGEU-S, TPG-750AH3FSG-R||||4711246872516|||Есть|multi compatibility|
Thermaltake Smart BM2 BM2 550W|550 Вт|ATX|24+8+8(4+4) pin|6 шт|4 шт|2 шт|полумодульная|20 А|20 А|45.5 А|0.3 А|2.5 А|546 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.4||||Есть|Есть|Есть||||86x150x160 мм||Есть||2.92|PS-SPD-0550MNFABE-1, SP-550AH3CCB-B||||0841163075500, 4713227525497|||||
Thermaltake Smart BX1 BX1 550W|550 Вт|ATX|24+8 (4+4) pin|6 шт|4 шт|2 шт|не модульная||||||||||активная|88 %|1 вентилятор|120 мм||80+ Bronze|2.3||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||2.92|PS-SPD-0550NNSABE-1, SPD-550AH2NKB||||4711246875227|||||
Chieftec Smart A8 GPS-650A8|650 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|2 шт|не модульная|20 А|20 А|50 А|0.3 А|2.5 А|600 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм|скольжения|без 80+|2.3|500 мм|500 мм|500 мм|Есть|Есть|Есть|||2 года|140x150x87 мм||Есть||||||||||||
Gigabyte Ultra Durable PG5 UD1300GM PG5|1300 Вт|ATX|24+8+8(4+4) pin|650 мм|600 мм|8 шт|модульная|25 А|25 А|108.3 А|0.3 А|3.5 А|1300 Вт|125 Вт|3.6 Вт|17.5 Вт|активная|90 %|полупассивная|140 мм|качения|80+ Gold|3|610 мм|650 мм|650 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x160 мм||Есть||||||1 шт|0810075656237, 4719331553388|||||
A-Data XPG PYLON 550|550 Вт|ATX|24+8 (4+4) pin|550 мм|550 мм|2 шт|не модульная|20 А|20 А|45.5 А|0.3 А|2.5 А|546 Вт|110 Вт|3.6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||80+ Bronze|2.52|650 мм|650 мм|550 мм|Есть|Есть|Есть|OCP, UVP, OTP, NLO, SIP||3 года|86x140x150 мм||Есть|Есть||PYLON550B-BKCEU, PYLON550B-BKCKR||||4710273776781|||||
Deepcool PX-G PX1000G WH|1000 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|3 шт|модульная|22 А|22 А|83.3 А|0.3 А|3 А|1000 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|650 мм|Есть|Есть|Есть|OTP, OCP, UVP||10 лет|86x150x160 мм|||||R-PXA00G-FC0W-EU, R-PXA00G-FC0W-UK, R-PXA00G-FC0W-US|||1 шт||||||
Thermaltake Toughpower Grand Platinum Grand 1200W Platinum|1200 Вт|ATX|24+8 (4+4) pin|12 шт|8 шт|8 шт|модульная||||||||||активная|92 %|1 вентилятор|140 мм||80+ Platinum|2.3||||Есть|Есть|Есть||40 дБ|7 лет|86x150x180 мм||Есть|||TPG-1200F-P||||4711246872530|||||
Thermaltake Smart Pro RGB Pro RGB 850W|850 Вт|ATX|24+8 (4+4) pin|9 шт|6 шт|4 шт|модульная|22 А|22 А|70.5 А|0.5 А|3 А|846 Вт|140 Вт|6 Вт|15 Вт|активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.4||||Есть|Есть|Есть|OCP, UVP, OTP||7 лет|87x150x170 мм||Есть||2.92|PS-SPR-0850FPCBEU-R, SPR-0850F-R, SPR-850AH3FSB-R||||4717964407429|||Есть||
Thermaltake Toughpower GF3 GF3 850W|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|70.8 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм|1.69 кг|Есть|||PS-TPD-0850FNFAGE-4, TPD-0850AH3FCG|||1 шт|0841163083987, 4713227533928|||||
Thermaltake TR2 S 650W|650 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная|23 А|17 А|48 А|0.5 А|2.5 А|576 Вт|110 Вт|||активная|86 %|1 вентилятор|120 мм||80+|2.3||||Есть|Есть|Есть|||3 года|86x150x140 мм||Есть||||||||||||
Thermaltake Smart BM2 BM2 650W|650 Вт|ATX|24+8+8(4+4) pin|6 шт|4 шт|4 шт|полумодульная|20 А|20 А|54 А|0.3 А|2.5 А|648 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.4||||Есть|Есть|Есть||||86x150x160 мм||Есть||2.92|PS-SPD-0650MNFABE-1, SP-650AH3CCB-B||||0841163075524|||||
Thermaltake Toughpower GF3 GF3 1200W|1200 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|100 А|0.3 А|3 А|1200 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм|1.88 кг|Есть|||PS-TPD-1200FNFAGE-4, TPD-1200AH3FCG|||1 шт|0841163084205, 4713227534147|||||
Thermaltake Litepower 2 Litepower 650W 230V|650 Вт|ATX|24+8 (4+4) pin|5 шт|6 шт|2 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть|||2 года|86x150x140 мм||Есть|||LTP-0650P-2, PS-LTP-0650NPCNEU-2||||0841163064061|||||
Thermaltake TR2 S 550W|550 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная|21 А|16 А|38 А|0.5 А|2.5 А|456 Вт|105 Вт|||активная|86 %|1 вентилятор|120 мм||80+|2.3||||Есть|Есть|Есть|||3 года|86x150x140 мм||Есть||||||||||||
A-Data XPG CORE REACTOR 750|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||650 мм|650 мм|650 мм|Есть|Есть|Есть|OCP, UVP, OTP, NLO, SIP|23 дБ|10 лет|86x140x150 мм|||||COREREACTOR750G-BKCEU||||0842243019131, 4710273773285|||||
Cooler Master Gold I Multi MPZ-7501-AFAG|750 Вт|ATX|24+8+8(4+4) pin|500 мм|400 мм|3 шт|модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|135 мм|гидродинамический|80+ Gold|3|650 мм|650 мм|550 мм|Есть|Есть|Есть|||10 лет|86x150x160 мм|2.43 кг|||||||1 шт|0884102091599, 4719512119259, 4719512119266, 4719512119273|||||
Thermaltake Toughpower GF1 GF1 650W|650 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|4 шт|модульная|22 А|22 А|54.2 А|0.3 А|3 А|650 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP|||86x150x160 мм||Есть|||PS-TPD-0650FNFAGE-1, PS-TPD-0650FNFAGE-2, TTP-650AH3FCG||||0841163006528, 4711246875531, 4713227525114|||||
Chieftec Smart A8 GPS-700A8|700 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|2 шт|не модульная|22 А|22 А|54 А|0.3 А|2.5 А|648 Вт|130 Вт|3.6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм|скольжения|без 80+|2.3|500 мм|500 мм|500 мм|Есть|Есть|Есть|||2 года|140x150x87 мм||Есть|||||||4710713239579|||||
Thermaltake Toughpower SFX GEN5 SFX 750W|750 Вт|SFX|24+8+8(4+4) pin|300 мм|300 мм|2 шт|модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|92 мм|гидродинамический|80+ Gold|3|300 мм|400 мм|400 мм|Есть|Есть|Есть||29 дБ|7 лет|64x125x100 мм|1 кг||||PS-STP-0750FNFAGE-1, SFX-750AH8FKG|||1 шт|4713227534994|||||
A-Data XPG CORE REACTOR 850|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|22 А|22 А|70.8 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||650 мм|650 мм|650 мм|Есть|Есть|Есть|OCP, UVP, OTP, NLO, SIP|25 дБ|10 лет|86x140x150 мм|||||COREREACTOR850G-BKCEU||||4710273773278|||||
Thermaltake Toughpower iRGB PLUS iRGB Plus 1000W|1050 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|24 А|24 А|83.3 А|0.5 А|3 А|999 Вт|120 Вт|6 Вт|15 Вт|активная|95 %|полупассивная|140 мм|гидродинамический|80+ Gold|2.4|600 мм|650 мм|500 мм|Есть|Есть|Есть|||10 лет|86x150x160 мм||Есть||2.92|PS-TPI-1000F3FDGE-1, TPI-1000DH3FCG||||4711246875364|||Есть|multi compatibility|
Chieftec Silicon SLC-1000C|1000 Вт|ATX|24+8 (4+4) pin|9 шт|3 шт|6 шт|модульная||||||||||активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.3||||Есть|Есть|Есть|||2 года|160x150x87 мм||Есть||||||||||||
Thermaltake Smart BX1 RGB BX1 RGB 550W|550 Вт|ATX|24+8 (4+4) pin|6 шт|4 шт|2 шт|не модульная|21 А|16 А|38 А|0.5 А|2.5 А|456 Вт|105 Вт|6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||2.92|PS-SPR-0550NHSABE-1, SP-550AH2NKB||||4711246873940|||Есть|multi compatibility|
Thermaltake Toughpower GF3 GF3 1000W|1000 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|83.5 А|0.3 А|3 А|1000 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм|1.72 кг|Есть|||PS-TPD-1000FNFAGE-4, TPD-1000AH3FCG|||1 шт|0841163084090, 4713227534031|||||
Gamemax GM Series GM-500G|500 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|1 шт|полумодульная|20 А|20 А|20 А|0.5 А|2.5 А|450 Вт|100 Вт|||активная|90 %|1 вентилятор|140 мм||80+ Gold|2.3|600 мм|600 мм|500 мм|Есть|Есть|Есть||||86x150x140 мм|||Есть||||20 А||6931858760010|||||
